Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name
Ding,9,6.748,11,9.242,14,0.73,40,0.798,40,-1.0,16,0.719,35,9.87,31,26.103,40,0.367,5,0.0,1,2.05e-15,0,PZ11,-6.748,PZ11_Ding_9
Das,10,6.825,12,7.958,10,0.858,2,0.977,9,-1.0,16,0.804,3,10.42,36,22.896,19,0.297,40,0.0,1,2.89e-15,1,PZ11,-6.825,PZ11_Das_10
Ding,10,6.878,13,9.382,17,0.733,39,0.739,49,-1.0,16,0.75,19,13.71,49,24.359,23,0.273,48,0.0,1,3.66e-15,0,PZ11,-6.878,PZ11_Ding_10
Adamiak,1,6.992,14,9.343,16,0.748,32,0.763,46,-1.0,16,0.758,16,8.24,25,24.914,27,0.299,39,0.0,1,6e-15,0,PZ11,-6.992,PZ11_Adamiak_1
Ding,3,6.996,15,9.317,15,0.751,31,0.826,33,-1.0,16,0.731,30,13.17,48,25.749,37,0.318,28,0.0,1,6.11e-15,0,PZ11,-6.996,PZ11_Ding_3
Chen,3,7.05,16,8.623,11,0.818,8,0.905,25,-1.0,16,0.793,6,1.1,10,26.738,46,0.319,26,0.0,1,7.77e-15,0,PZ11,-7.05,PZ11_Chen_3
Bujnicki,8,7.142,17,10.409,27,0.686,52,0.727,51,-1.0,16,0.683,46,0.0,1,22.149,13,0.399,3,0.0,1,1.15e-14,0,PZ11,-7.142,PZ11_Bujnicki_8
Ding,8,7.21,18,9.141,12,0.789,23,0.798,40,-1.0,16,0.797,4,9.87,31,25.219,30,0.319,26,0.0,1,1.54e-14,1,PZ11,-7.21,PZ11_Ding_8
Adamiak,6,7.333,19,9.882,22,0.742,36,0.906,24,0.0,4,0.694,42,10.98,41,25.771,38,0.336,17,0.0,1,2.6e-14,0,PZ11,-7.333,PZ11_Adamiak_6
Bujnicki,9,7.385,20,9.435,19,0.783,24,0.957,13,-1.0,16,0.711,38,1.1,10,23.871,20,0.323,23,0.0,1,3.25e-14,0,PZ11,-7.385,PZ11_Bujnicki_9
Adamiak,10,7.407,21,10.534,31,0.703,49,0.773,43,-1.0,16,0.682,48,9.34,29,28.03,48,0.313,34,0.0,1,3.56e-14,0,PZ11,-7.407,PZ11_Adamiak_10
Adamiak,3,7.409,22,10.517,29,0.705,48,0.744,48,0.0,4,0.709,39,6.59,19,25.442,35,0.439,2,0.0,1,3.6e-14,0,PZ11,-7.409,PZ11_Adamiak_3
Bujnicki,10,7.546,23,11.399,36,0.662,54,0.636,54,-1.0,16,0.69,45,0.0,1,26.164,41,0.303,38,0.0,1,6.42e-14,0,PZ11,-7.546,PZ11_Bujnicki_10
Bujnicki,5,7.574,24,10.47,28,0.723,41,0.773,43,-1.0,16,0.718,36,0.0,1,22.22,14,0.311,36,0.0,1,7.19e-14,0,PZ11,-7.574,PZ11_Bujnicki_5
Ding,4,7.838,26,10.177,24,0.77,28,0.826,33,-1.0,16,0.761,14,9.87,31,24.893,26,0.346,10,0.0,1,2.15e-13,0,PZ11,-7.838,PZ11_Ding_4
Chen,9,7.955,27,9.869,21,0.806,17,0.978,4,-1.0,16,0.736,26,14.8,52,21.41,7,0.369,4,0.0,1,3.46e-13,0,PZ11,-7.955,PZ11_Chen_9
Das,7,7.969,28,10.345,26,0.77,28,0.909,23,0.0,4,0.736,26,9.33,28,21.658,10,0.325,22,0.0,1,3.67e-13,0,PZ11,-7.969,PZ11_Das_7
Das,5,8.277,29,11.618,37,0.712,46,0.858,28,0.0,4,0.683,46,10.97,39,22.564,16,0.315,31,0.0,1,1.26e-12,0,PZ11,-8.277,PZ11_Das_5
Das,2,8.351,30,10.281,25,0.812,14,0.955,14,-1.0,16,0.759,15,12.07,44,20.208,2,0.353,7,0.0,1,1.69e-12,0,PZ11,-8.351,PZ11_Das_2
Chen,6,8.355,31,10.521,30,0.794,19,0.914,22,0.0,4,0.748,20,17.55,53,19.236,1,0.318,28,0.0,1,1.72e-12,1,PZ11,-8.355,PZ11_Chen_6
Chen,8,8.415,32,10.097,23,0.833,5,0.978,4,-1.0,16,0.768,11,9.87,31,21.821,11,0.332,19,0.0,1,2.18e-12,1,PZ11,-8.415,PZ11_Chen_8
Ding,1,8.417,33,11.643,39,0.723,41,0.826,33,-1.0,16,0.682,48,11.52,43,26.219,42,0.272,49,0.0,1,2.19e-12,1,PZ11,-8.417,PZ11_Ding_1
Das,4,8.475,34,9.827,20,0.862,1,1.0,1,0.5,3,0.807,2,10.42,36,21.611,9,0.253,52,0.0,1,2.75e-12,0,PZ11,-8.475,PZ11_Das_4
Das,1,8.526,35,10.732,32,0.794,19,0.955,14,0.0,4,0.739,24,8.23,23,20.808,4,0.312,35,0.0,1,3.36e-12,0,PZ11,-8.526,PZ11_Das_1
Ding,7,8.542,36,11.068,34,0.772,26,0.798,40,-1.0,16,0.779,8,14.26,50,24.517,25,0.353,7,0.0,1,3.57e-12,0,PZ11,-8.542,PZ11_Ding_7
Adamiak,9,8.645,37,11.213,35,0.771,27,0.81,38,-1.0,16,0.768,11,10.98,41,25.236,31,0.259,51,0.0,1,5.33e-12,0,PZ11,-8.645,PZ11_Adamiak_9
Das,6,8.818,38,11.871,42,0.743,35,0.889,26,0.0,4,0.691,43,8.78,26,23.889,21,0.307,37,0.0,1,1.03e-11,0,PZ11,-8.818,PZ11_Das_6
Xiao,2,8.825,39,11.792,41,0.748,32,0.853,29,-1.0,16,0.721,33,1.1,10,28.555,51,0.358,6,0.0,1,1.06e-11,0,PZ11,-8.825,PZ11_Xiao_2
Das,3,8.901,40,10.904,33,0.816,10,1.0,1,0.0,4,0.748,20,8.78,26,21.505,8,0.316,30,0.0,1,1.41e-11,0,PZ11,-8.901,PZ11_Das_3
Bujnicki,6,9.042,41,12.318,43,0.734,38,0.756,47,-1.0,16,0.74,23,0.55,6,22.748,18,0.335,18,0.0,1,2.4e-11,0,PZ11,-9.042,PZ11_Bujnicki_6
Adamiak,2,9.049,42,12.69,44,0.713,45,0.81,38,-1.0,16,0.678,51,9.88,35,26.299,43,0.295,42,0.0,1,2.46e-11,0,PZ11,-9.049,PZ11_Adamiak_2
Bujnicki,7,9.212,43,13.244,46,0.696,50,0.727,51,-1.0,16,0.698,40,1.1,10,22.051,12,0.296,41,0.0,1,4.5e-11,0,PZ11,-9.212,PZ11_Bujnicki_7
Chen,7,9.305,44,11.631,38,0.8,18,0.978,4,-1.0,16,0.727,32,12.61,46,21.078,6,0.329,20,0.0,1,6.35e-11,0,PZ11,-9.305,PZ11_Chen_7
Chen,10,9.467,45,11.696,40,0.809,16,0.978,4,-1.0,16,0.73,31,8.23,23,20.685,3,0.342,12,0.0,1,1.14e-10,1,PZ11,-9.467,PZ11_Chen_10
Xiao,3,10.327,46,14.035,48,0.736,37,0.831,30,0.0,4,0.715,37,1.1,10,26.603,45,0.338,16,0.0,1,2.28e-09,0,PZ11,-10.327,PZ11_Xiao_3
Adamiak,8,10.392,47,14.371,49,0.723,41,0.831,30,-1.0,16,0.682,48,9.34,29,25.373,33,0.28,46,0.0,1,2.82e-09,0,PZ11,-10.392,PZ11_Adamiak_8
Das,8,10.423,48,12.814,45,0.813,13,0.934,19,-1.0,16,0.758,16,7.68,22,20.83,5,0.244,53,0.0,1,3.13e-09,1,PZ11,-10.423,PZ11_Das_8
Ding,6,10.538,49,13.303,47,0.792,21,0.826,33,-1.0,16,0.797,4,10.97,39,24.392,24,0.279,47,0.0,1,4.57e-09,0,PZ11,-10.538,PZ11_Ding_6
Xiao,1,10.686,50,14.914,51,0.716,44,0.734,50,0.0,4,0.742,22,4.4,18,29.738,53,0.32,24,0.0,1,7.41e-09,0,PZ11,-10.686,PZ11_Xiao_1
Adamiak,4,11.177,51,15.751,52,0.71,47,0.831,30,-1.0,16,0.663,54,10.43,38,22.524,15,0.282,45,0.0,1,3.51e-08,0,PZ11,-11.177,PZ11_Adamiak_4
Ding,2,11.439,52,14.697,50,0.778,25,0.826,33,-1.0,16,0.773,9,14.26,50,25.637,36,0.288,44,0.0,1,7.79e-08,0,PZ11,-11.439,PZ11_Ding_2
Bujnicki,2,15.356,53,22.81,54,0.673,53,0.685,53,0.0,4,0.691,43,0.0,1,25.084,29,0.205,54,0.0,1,0.001072,0,PZ11,-15.356,PZ11_Bujnicki_2
Das,9,16.028,54,21.424,53,0.748,32,0.88,27,0.0,4,0.698,40,12.07,44,28.266,50,0.266,50,0.0,1,0.003509,1,PZ11,-16.028,PZ11_Das_9
RNAComposerAS1,3,1.235,1,1.36,1,0.908,2,1.0,1,0.408,29,0.938,2,12.57,64,11.264,1,0.509,1,0.0,1,1.039e-09,0,PZ16a,-1.235,PZ16a_RNAComposerAS1_3
Chen,1,1.45,2,1.495,2,0.97,1,1.0,1,0.816,12,0.98,1,0.0,1,16.667,32,0.439,2,0.0,1,2.156e-09,0,PZ16a,-1.45,PZ16a_Chen_1
RW3DAS2,6,1.523,3,1.738,3,0.877,4,0.913,12,0.667,17,0.895,3,13.68,65,11.603,4,0.381,5,0.0,1,2.753e-09,0,PZ16a,-1.523,PZ16a_RW3DAS2_6
RW3DAS2,7,1.661,4,1.975,5,0.841,11,0.913,12,0.816,12,0.826,14,9.12,50,13.366,8,0.271,41,0.0,1,4.338e-09,0,PZ16a,-1.661,PZ16a_RW3DAS2_7
RW3DAS2,8,1.688,5,1.963,4,0.86,7,0.913,12,0.408,29,0.895,3,6.84,42,12.498,5,0.337,6,0.0,1,4.744e-09,0,PZ16a,-1.688,PZ16a_RW3DAS2_8
RNAComposerAS2,8,1.881,6,2.442,9,0.77,33,0.913,12,0.408,29,0.776,29,17.14,73,17.429,41,0.303,22,0.0,1,8.874e-09,0,PZ16a,-1.881,PZ16a_RNAComposerAS2_8
Szachniuk,8,1.881,6,2.442,9,0.77,33,0.913,12,0.408,29,0.776,29,17.14,73,17.429,41,0.303,22,0.0,1,8.874e-09,0,PZ16a,-1.881,PZ16a_Szachniuk_8
RW3DAS2,1,1.906,8,2.174,6,0.877,4,1.0,1,0.866,11,0.85,9,13.68,65,15.342,20,0.246,63,0.0,1,9.635e-09,0,PZ16a,-1.906,PZ16a_RW3DAS2_1
3dRNAAS2,6,1.92,9,2.19,7,0.877,4,0.913,12,1.0,1,0.853,8,0.0,1,18.183,46,0.315,12,0.0,1,1.007e-08,0,PZ16a,-1.92,PZ16a_3dRNAAS2_6
RNAComposerAS1,8,2.041,10,2.289,8,0.892,3,1.0,1,0.816,12,0.873,5,4.57,37,11.416,3,0.328,7,0.0,1,1.482e-08,0,PZ16a,-2.041,PZ16a_RNAComposerAS1_8
RNAComposerAS2,10,2.041,10,2.65,11,0.77,33,0.913,12,0.408,29,0.776,29,11.43,60,19.081,56,0.326,8,0.0,1,1.482e-08,0,PZ16a,-2.041,PZ16a_RNAComposerAS2_10
Szachniuk,10,2.041,10,2.65,11,0.77,33,0.913,12,0.408,29,0.776,29,11.43,60,19.081,56,0.326,8,0.0,1,1.482e-08,0,PZ16a,-2.041,PZ16a_Szachniuk_10
RNAComposerAS2,5,2.209,13,3.251,27,0.679,57,0.913,12,-1.0,69,0.66,64,13.71,68,15.005,15,0.305,20,0.0,1,2.516e-08,0,PZ16a,-2.209,PZ16a_RNAComposerAS2_5
Szachniuk,5,2.209,13,3.251,27,0.679,57,0.913,12,-1.0,69,0.66,64,13.71,68,15.005,15,0.305,20,0.0,1,2.516e-08,0,PZ16a,-2.209,PZ16a_Szachniuk_5
RNAComposerAS1,6,2.214,15,2.733,15,0.81,23,1.0,1,0.577,24,0.786,25,5.71,41,15.614,23,0.298,27,0.0,1,2.558e-08,0,PZ16a,-2.214,PZ16a_RNAComposerAS1_6
RNAComposerAS2,3,2.217,16,2.687,13,0.825,20,0.913,12,0.408,29,0.85,9,9.14,51,16.59,30,0.283,32,0.0,1,2.579e-08,0,PZ16a,-2.217,PZ16a_RNAComposerAS2_3
Szachniuk,3,2.217,16,2.687,13,0.825,20,0.913,12,0.408,29,0.85,9,9.14,51,16.59,30,0.283,32,0.0,1,2.579e-08,0,PZ16a,-2.217,PZ16a_Szachniuk_3
RNAComposerAS2,1,2.258,18,2.862,16,0.789,28,0.913,12,0.667,17,0.776,29,10.29,58,15.711,24,0.261,50,0.0,1,2.931e-08,0,PZ16a,-2.258,PZ16a_RNAComposerAS2_1
Szachniuk,1,2.258,18,2.862,16,0.789,28,0.913,12,0.667,17,0.776,29,10.29,58,15.711,24,0.261,50,0.0,1,2.931e-08,0,PZ16a,-2.258,PZ16a_Szachniuk_1
RNAComposerAS2,4,2.36,20,2.992,21,0.789,28,0.913,12,0.0,44,0.826,14,11.43,60,16.177,27,0.269,44,0.0,1,4.022e-08,0,PZ16a,-2.36,PZ16a_RNAComposerAS2_4
Szachniuk,4,2.36,20,2.992,21,0.789,28,0.913,12,0.0,44,0.826,14,11.43,60,16.177,27,0.269,44,0.0,1,4.022e-08,0,PZ16a,-2.36,PZ16a_Szachniuk_4
RNAComposerAS2,7,2.381,22,3.217,25,0.74,42,0.913,12,0.408,29,0.734,49,3.43,31,13.033,6,0.281,34,0.0,1,4.28e-08,0,PZ16a,-2.381,PZ16a_RNAComposerAS2_7
Szachniuk,7,2.381,22,3.217,25,0.74,42,0.913,12,0.408,29,0.734,49,3.43,31,13.033,6,0.281,34,0.0,1,4.28e-08,0,PZ16a,-2.381,PZ16a_Szachniuk_7
RNAComposerAS1,5,2.405,24,3.021,23,0.796,25,1.0,1,0.667,17,0.76,38,9.14,51,11.362,2,0.306,17,0.0,1,4.618e-08,0,PZ16a,-2.405,PZ16a_RNAComposerAS1_5
RNAComposerAS1,4,2.407,25,2.971,20,0.81,23,1.0,1,0.816,12,0.76,38,14.86,70,16.676,34,0.312,14,0.0,1,4.641e-08,0,PZ16a,-2.407,PZ16a_RNAComposerAS1_4
RNAComposerAS2,6,2.43,26,2.89,18,0.841,11,0.913,12,0.408,29,0.872,6,9.14,51,14.028,13,0.323,10,0.0,1,4.981e-08,0,PZ16a,-2.43,PZ16a_RNAComposerAS2_6
Szachniuk,6,2.43,26,2.89,18,0.841,11,0.913,12,0.408,29,0.872,6,9.14,51,14.028,13,0.323,10,0.0,1,4.981e-08,0,PZ16a,-2.43,PZ16a_Szachniuk_6
RNAComposerAS1,7,2.609,28,3.151,24,0.828,19,1.0,1,0.816,12,0.786,25,4.57,37,17.449,44,0.287,31,0.0,1,8.558e-08,0,PZ16a,-2.609,PZ16a_RNAComposerAS1_7
RNAComposerAS1,9,2.718,29,3.414,29,0.796,25,0.926,9,0.408,29,0.805,19,17.14,73,15.275,19,0.258,55,0.0,1,1.187e-07,0,PZ16a,-2.718,PZ16a_RNAComposerAS1_9
RNAComposerAS1,1,2.751,30,3.456,31,0.796,25,0.926,9,0.577,24,0.786,25,3.43,31,13.439,9,0.281,34,0.0,1,1.309e-07,0,PZ16a,-2.751,PZ16a_RNAComposerAS1_1
RNAComposerAS1,2,2.802,31,3.423,30,0.819,22,0.926,9,0.667,17,0.81,18,8.0,49,13.873,12,0.27,42,0.0,1,1.52e-07,0,PZ16a,-2.802,PZ16a_RNAComposerAS1_2
RNAComposerAS2,9,2.813,32,3.774,34,0.745,40,0.913,12,0.408,29,0.742,46,14.86,70,15.022,17,0.235,67,0.0,1,1.573e-07,0,PZ16a,-2.813,PZ16a_RNAComposerAS2_9
Szachniuk,9,2.813,32,3.774,34,0.745,40,0.913,12,0.408,29,0.742,46,14.86,70,15.022,17,0.235,67,0.0,1,1.573e-07,0,PZ16a,-2.813,PZ16a_Szachniuk_9
3dRNAAS2,7,2.912,34,3.456,31,0.843,9,0.913,12,1.0,1,0.805,19,0.0,1,20.91,61,0.307,15,0.0,1,2.102e-07,0,PZ16a,-2.912,PZ16a_3dRNAAS2_7
3dRNAAS2,8,2.912,34,3.456,31,0.843,9,0.913,12,1.0,1,0.805,19,0.0,1,20.91,61,0.307,15,0.0,1,2.102e-07,0,PZ16a,-2.912,PZ16a_3dRNAAS2_8
Lee,2,3.551,36,4.931,38,0.72,49,0.775,54,-1.0,69,0.76,38,0.0,1,16.172,26,0.293,29,0.0,1,1.271e-06,0,PZ16a,-3.551,PZ16a_Lee_2
RNAComposerAS2,2,3.716,37,4.423,36,0.84,17,0.913,12,0.577,24,0.849,12,9.14,51,13.819,10,0.42,3,0.0,1,1.984e-06,0,PZ16a,-3.716,PZ16a_RNAComposerAS2_2
Szachniuk,2,3.716,37,4.423,36,0.84,17,0.913,12,0.577,24,0.849,12,9.14,51,13.819,10,0.42,3,0.0,1,1.984e-06,0,PZ16a,-3.716,PZ16a_Szachniuk_2
Lee,4,3.957,39,5.523,39,0.716,52,0.775,54,-1.0,69,0.751,45,0.0,1,17.014,35,0.249,61,0.0,1,3.749e-06,0,PZ16a,-3.957,PZ16a_Lee_4
SimRNAAS1,1,4.339,40,6.506,52,0.667,60,0.645,73,0.0,44,0.742,46,45.61,78,18.873,53,0.212,75,0.0,1,9.912e-06,0,PZ16a,-4.339,PZ16a_SimRNAAS1_1
Lee,6,4.416,41,6.303,48,0.701,55,0.775,54,-1.0,69,0.734,49,0.0,1,17.338,39,0.253,58,0.0,1,1.199e-05,0,PZ16a,-4.416,PZ16a_Lee_6
3dRNAAS2,10,4.445,42,5.919,42,0.751,37,0.707,64,1.0,1,0.728,53,6.86,45,26.482,74,0.3,24,0.0,1,1.287e-05,0,PZ16a,-4.445,PZ16a_3dRNAAS2_10
3dRNAAS2,9,4.445,42,5.919,42,0.751,37,0.707,64,1.0,1,0.728,53,6.86,45,26.482,74,0.3,24,0.0,1,1.287e-05,0,PZ16a,-4.445,PZ16a_3dRNAAS2_9
RW3DAS2,10,4.47,44,6.269,45,0.713,53,0.833,47,0.0,44,0.76,38,4.56,34,16.339,29,0.251,60,0.0,1,1.369e-05,0,PZ16a,-4.47,PZ16a_RW3DAS2_10
SimRNAAS2,1,4.508,45,6.653,54,0.678,59,0.775,54,0.0,44,0.716,57,57.08,79,23.628,67,0.234,69,0.0,1,1.504e-05,0,PZ16a,-4.508,PZ16a_SimRNAAS2_1
Lee,7,4.558,46,6.329,49,0.72,49,0.775,54,-1.0,69,0.76,38,0.0,1,17.231,37,0.262,49,0.0,1,1.698e-05,0,PZ16a,-4.558,PZ16a_Lee_7
Lee,1,4.605,47,6.458,51,0.713,53,0.816,50,-1.0,69,0.734,49,0.0,1,17.391,40,0.26,52,0.0,1,1.9e-05,0,PZ16a,-4.605,PZ16a_Lee_1
3dRNAAS2,5,4.708,48,6.29,47,0.748,39,0.707,64,1.0,1,0.723,56,2.29,29,28.769,77,0.299,26,0.0,1,2.432e-05,0,PZ16a,-4.708,PZ16a_3dRNAAS2_5
Lee,3,4.711,49,6.367,50,0.74,42,0.816,50,-1.0,69,0.776,29,0.0,1,15.584,22,0.273,39,0.0,1,2.454e-05,0,PZ16a,-4.711,PZ16a_Lee_3
SimRNAAS2,3,4.758,50,7.598,60,0.626,67,0.775,54,0.0,44,0.66,64,58.09,80,24.122,68,0.216,74,0.0,1,2.739e-05,0,PZ16a,-4.758,PZ16a_SimRNAAS2_3
RW3DAS1,3,4.786,51,8.203,67,0.583,74,0.645,73,0.0,44,0.631,72,5.7,39,21.777,63,0.26,52,0.0,1,2.925e-05,0,PZ16a,-4.786,PZ16a_RW3DAS1_3
RW3DAS2,9,4.805,52,7.543,59,0.637,63,0.722,62,0.0,44,0.671,61,7.98,47,18.071,45,0.266,48,0.0,1,3.058e-05,0,PZ16a,-4.805,PZ16a_RW3DAS2_9
RW3DAS1,4,4.817,53,8.404,71,0.573,76,0.645,73,0.0,44,0.613,75,6.84,42,18.865,52,0.249,61,0.0,1,3.152e-05,0,PZ16a,-4.817,PZ16a_RW3DAS1_4
3dRNAAS2,2,4.833,54,5.747,40,0.841,11,0.913,12,1.0,1,0.801,22,44.57,76,25.057,70,0.306,17,0.0,1,3.267e-05,0,PZ16a,-4.833,PZ16a_3dRNAAS2_2
3dRNAAS2,3,4.833,54,5.747,40,0.841,11,0.913,12,1.0,1,0.801,22,44.57,76,25.057,70,0.306,17,0.0,1,3.267e-05,0,PZ16a,-4.833,PZ16a_3dRNAAS2_3
RW3DAS1,2,4.844,56,7.736,62,0.626,67,0.645,73,0.0,44,0.688,58,6.84,42,18.21,47,0.26,52,0.0,1,3.358e-05,0,PZ16a,-4.844,PZ16a_RW3DAS1_2
RW3DAS1,10,4.852,57,7.617,61,0.637,63,0.722,62,0.0,44,0.688,58,3.42,30,19.91,59,0.272,40,0.0,1,3.415e-05,0,PZ16a,-4.852,PZ16a_RW3DAS1_10
RW3DAS2,2,4.852,57,6.273,46,0.774,32,0.833,47,0.667,17,0.776,29,2.28,25,16.675,33,0.27,42,0.0,1,3.42e-05,0,PZ16a,-4.852,PZ16a_RW3DAS2_2
RW3DAS1,8,4.888,59,7.805,63,0.626,67,0.68,67,0.0,44,0.671,61,7.98,47,17.436,43,0.245,64,0.0,1,3.713e-05,0,PZ16a,-4.888,PZ16a_RW3DAS1_8
RW3DAS1,7,4.896,60,8.091,65,0.605,72,0.68,67,0.0,44,0.642,71,2.28,25,21.915,64,0.267,47,0.0,1,3.787e-05,0,PZ16a,-4.896,PZ16a_RW3DAS1_7
SimRNAAS1,2,4.898,61,8.245,69,0.594,73,0.68,67,0.0,44,0.65,69,58.15,81,22.118,65,0.223,71,0.0,1,3.805e-05,0,PZ16a,-4.898,PZ16a_SimRNAAS1_2
RW3DAS2,5,4.901,62,6.624,53,0.74,42,0.833,47,0.667,17,0.728,53,2.28,25,18.278,48,0.268,46,0.0,1,3.832e-05,0,PZ16a,-4.901,PZ16a_RW3DAS2_5
SimRNAAS2,2,4.912,63,6.821,56,0.72,49,0.816,50,0.0,44,0.78,28,66.06,82,20.899,60,0.257,56,0.0,1,3.929e-05,0,PZ16a,-4.912,PZ16a_SimRNAAS2_2
RW3DAS1,5,4.993,64,9.222,73,0.541,78,0.68,67,0.0,44,0.566,81,4.56,34,18.756,51,0.274,37,0.0,1,4.736e-05,0,PZ16a,-4.993,PZ16a_RW3DAS1_5
RW3DAS1,1,5.038,65,7.91,64,0.637,63,0.68,67,0.0,44,0.688,58,1.14,22,19.595,58,0.237,66,0.0,1,5.256e-05,0,PZ16a,-5.038,PZ16a_RW3DAS1_1
3dRNAAS2,4,5.091,66,6.054,44,0.841,11,0.913,12,1.0,1,0.801,22,0.0,1,22.163,66,0.297,28,0.0,1,5.922e-05,0,PZ16a,-5.091,PZ16a_3dRNAAS2_4
RW3DAS1,9,5.217,67,8.469,72,0.616,70,0.645,73,0.0,44,0.671,61,4.56,34,18.922,54,0.244,65,0.0,1,7.87e-05,0,PZ16a,-5.217,PZ16a_RW3DAS1_9
RW3DAS2,3,5.247,68,8.238,68,0.637,63,0.772,61,0.0,44,0.655,68,5.7,39,17.184,36,0.252,59,0.0,1,8.407e-05,0,PZ16a,-5.247,PZ16a_RW3DAS2_3
Lee,5,5.288,69,7.268,57,0.728,47,0.775,54,-1.0,69,0.768,37,0.0,1,15.536,21,0.291,30,0.0,1,9.217e-05,0,PZ16a,-5.288,PZ16a_Lee_5
Lee,10,5.383,70,8.305,70,0.648,61,0.816,50,0.0,44,0.66,64,0.0,1,18.43,50,0.222,72,0.0,1,0.0001136,0,PZ16a,-5.383,PZ16a_Lee_10
Lee,8,5.405,71,7.305,58,0.74,42,0.866,45,-1.0,69,0.754,43,0.0,1,17.307,38,0.257,56,0.0,1,0.0001191,0,PZ16a,-5.405,PZ16a_Lee_8
SimRNAAS1,3,5.482,72,9.563,74,0.573,76,0.645,73,0.0,44,0.613,75,92.26,83,32.507,79,0.15,79,0.0,1,0.0001405,0,PZ16a,-5.482,PZ16a_SimRNAAS1_3
RW3DAS2,4,5.557,73,8.101,66,0.686,56,0.913,12,0.577,24,0.65,69,13.68,65,19.031,55,0.274,37,0.0,1,0.0001653,0,PZ16a,-5.557,PZ16a_RW3DAS2_4
3dRNAAS2,1,5.729,74,6.676,55,0.858,8,0.913,12,1.0,1,0.826,14,0.0,1,25.997,73,0.314,13,0.0,1,0.0002371,0,PZ16a,-5.729,PZ16a_3dRNAAS2_1
RW3DAS1,6,5.79,75,9.924,75,0.583,74,0.68,67,0.0,44,0.631,72,2.28,25,24.855,69,0.218,73,0.0,1,0.0002691,0,PZ16a,-5.79,PZ16a_RW3DAS1_6
Chen,4,7.254,76,11.933,78,0.608,71,0.913,12,0.0,44,0.582,79,0.0,1,25.784,72,0.201,77,0.0,1,0.004058,0,PZ16a,-7.254,PZ16a_Chen_4
Chen,3,7.344,77,11.419,76,0.643,62,0.913,12,-1.0,69,0.603,78,0.0,1,27.323,76,0.229,70,0.0,1,0.004694,0,PZ16a,-7.344,PZ16a_Chen_3
Lee,9,8.41,78,11.583,77,0.726,48,0.866,45,0.0,44,0.754,43,0.0,1,18.351,49,0.212,75,0.0,1,0.02248,0,PZ16a,-8.41,PZ16a_Lee_9
Chen,10,15.237,79,32.056,79,0.475,79,0.0,79,-1.0,69,0.613,75,1.14,22,33.128,80,0.172,78,0.0,1,0.9631,0,PZ16a,-15.237,PZ16a_Chen_10
Chen,9,15.496,80,56.347,83,0.275,83,0.0,79,0.0,44,0.362,83,0.0,1,35.47,82,0.108,83,0.0,1,0.9733,0,PZ16a,-15.496,PZ16a_Chen_9
