Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name,ares_id,ares_score,complete_model,Lddt_score,Lddt_rank
Chen,9,7.955,27,9.869,21,0.806,17,0.978,4,-1.0,16,0.736,26,14.8,52,21.41,7,0.369,4,0.0,1,3.46e-13,0,PZ11,-7.955,PZ11_Chen_9,PZ11_Chen_9,6.8504057,PZ11_Chen_9,0.5350117248566962,32
Das,7,7.969,28,10.345,26,0.77,28,0.909,23,0.0,4,0.736,26,9.33,28,21.658,10,0.325,22,0.0,1,3.67e-13,0,PZ11,-7.969,PZ11_Das_7,PZ11_Das_7,6.6095405,PZ11_Das_7,0.5866218200767446,10
Das,5,8.277,29,11.618,37,0.712,46,0.858,28,0.0,4,0.683,46,10.97,39,22.564,16,0.315,31,0.0,1,1.26e-12,0,PZ11,-8.277,PZ11_Das_5,PZ11_Das_5,6.4452562,PZ11_Das_5,0.5146960419726183,47
Das,2,8.351,30,10.281,25,0.812,14,0.955,14,-1.0,16,0.759,15,12.07,44,20.208,2,0.353,7,0.0,1,1.69e-12,0,PZ11,-8.351,PZ11_Das_2,PZ11_Das_2,6.4467359,PZ11_Das_2,0.5961393836752096,7
Chen,6,8.355,31,10.521,30,0.794,19,0.914,22,0.0,4,0.748,20,17.55,53,19.236,1,0.318,28,0.0,1,1.72e-12,1,PZ11,-8.355,PZ11_Chen_6,PZ11_Chen_6,7.2322879,PZ11_Chen_6,0.5334587736544606,35
Chen,8,8.415,32,10.097,23,0.833,5,0.978,4,-1.0,16,0.768,11,9.87,31,21.821,11,0.332,19,0.0,1,2.18e-12,1,PZ11,-8.415,PZ11_Chen_8,PZ11_Chen_8,7.964932,PZ11_Chen_8,0.5164060579995084,45
Ding,1,8.417,33,11.643,39,0.723,41,0.826,33,-1.0,16,0.682,48,11.52,43,26.219,42,0.272,49,0.0,1,2.19e-12,1,PZ11,-8.417,PZ11_Ding_1,PZ11_Ding_1,7.9173574,PZ11_Ding_1,0.5142326124354878,48
Das,4,8.475,34,9.827,20,0.862,1,1.0,1,0.5,3,0.807,2,10.42,36,21.611,9,0.253,52,0.0,1,2.75e-12,0,PZ11,-8.475,PZ11_Das_4,PZ11_Das_4,6.3008671,PZ11_Das_4,0.5981927140082429,5
Das,1,8.526,35,10.732,32,0.794,19,0.955,14,0.0,4,0.739,24,8.23,23,20.808,4,0.312,35,0.0,1,3.36e-12,0,PZ11,-8.526,PZ11_Das_1,PZ11_Das_1,6.5384564,PZ11_Das_1,0.5979869368515799,6
Ding,7,8.542,36,11.068,34,0.772,26,0.798,40,-1.0,16,0.779,8,14.26,50,24.517,25,0.353,7,0.0,1,3.57e-12,0,PZ11,-8.542,PZ11_Ding_7,PZ11_Ding_7,7.522099,PZ11_Ding_7,0.5343988346203041,34
Adamiak,9,8.645,37,11.213,35,0.771,27,0.81,38,-1.0,16,0.768,11,10.98,41,25.236,31,0.259,51,0.0,1,5.33e-12,0,PZ11,-8.645,PZ11_Adamiak_9,PZ11_Adamiak_9,6.494935,PZ11_Adamiak_9,0.4995351508835094,52
Das,6,8.818,38,11.871,42,0.743,35,0.889,26,0.0,4,0.691,43,8.78,26,23.889,21,0.307,37,0.0,1,1.03e-11,0,PZ11,-8.818,PZ11_Das_6,PZ11_Das_6,6.3150768,PZ11_Das_6,0.5697110829504003,15
Xiao,2,8.825,39,11.792,41,0.748,32,0.853,29,-1.0,16,0.721,33,1.1,10,28.555,51,0.358,6,0.0,1,1.06e-11,0,PZ11,-8.825,PZ11_Xiao_2,PZ11_Xiao_2,7.8264961,PZ11_Xiao_2,0.5414219053484296,31
Das,3,8.901,40,10.904,33,0.816,10,1.0,1,0.0,4,0.748,20,8.78,26,21.505,8,0.316,30,0.0,1,1.41e-11,0,PZ11,-8.901,PZ11_Das_3,PZ11_Das_3,6.4302931,PZ11_Das_3,0.6149642924818798,3
Bujnicki,6,9.042,41,12.318,43,0.734,38,0.756,47,-1.0,16,0.74,23,0.55,6,22.748,18,0.335,18,0.0,1,2.4e-11,0,PZ11,-9.042,PZ11_Bujnicki_6,PZ11_Bujnicki_6,6.1456647,PZ11_Bujnicki_6,0.5448949500213179,28
Adamiak,2,9.049,42,12.69,44,0.713,45,0.81,38,-1.0,16,0.678,51,9.88,35,26.299,43,0.295,42,0.0,1,2.46e-11,0,PZ11,-9.049,PZ11_Adamiak_2,PZ11_Adamiak_2,6.9109435,PZ11_Adamiak_2,0.5150454190155858,46
Bujnicki,7,9.212,43,13.244,46,0.696,50,0.727,51,-1.0,16,0.698,40,1.1,10,22.051,12,0.296,41,0.0,1,4.5e-11,0,PZ11,-9.212,PZ11_Bujnicki_7,PZ11_Bujnicki_7,6.44595,PZ11_Bujnicki_7,0.5110216613766639,49
Chen,7,9.305,44,11.631,38,0.8,18,0.978,4,-1.0,16,0.727,32,12.61,46,21.078,6,0.329,20,0.0,1,6.35e-11,0,PZ11,-9.305,PZ11_Chen_7,PZ11_Chen_7,6.9663072,PZ11_Chen_7,0.5419533729688758,29
Chen,10,9.467,45,11.696,40,0.809,16,0.978,4,-1.0,16,0.73,31,8.23,23,20.685,3,0.342,12,0.0,1,1.14e-10,1,PZ11,-9.467,PZ11_Chen_10,PZ11_Chen_10,6.7739305,PZ11_Chen_10,0.527194949619071,40
Xiao,3,10.327,46,14.035,48,0.736,37,0.831,30,0.0,4,0.715,37,1.1,10,26.603,45,0.338,16,0.0,1,2.28e-09,0,PZ11,-10.327,PZ11_Xiao_3,PZ11_Xiao_3,7.2959967,PZ11_Xiao_3,0.5327970297029703,36
Adamiak,8,10.392,47,14.371,49,0.723,41,0.831,30,-1.0,16,0.682,48,9.34,29,25.373,33,0.28,46,0.0,1,2.82e-09,0,PZ11,-10.392,PZ11_Adamiak_8,PZ11_Adamiak_8,6.6042218,PZ11_Adamiak_8,0.5002812781278128,51
Das,8,10.423,48,12.814,45,0.813,13,0.934,19,-1.0,16,0.758,16,7.68,22,20.83,5,0.244,53,0.0,1,3.13e-09,1,PZ11,-10.423,PZ11_Das_8,PZ11_Das_8,6.5651159,PZ11_Das_8,0.5933168468911281,9
Ding,6,10.538,49,13.303,47,0.792,21,0.826,33,-1.0,16,0.797,4,10.97,39,24.392,24,0.279,47,0.0,1,4.57e-09,0,PZ11,-10.538,PZ11_Ding_6,PZ11_Ding_6,7.8939366,PZ11_Ding_6,0.5475611705907433,24
Xiao,1,10.686,50,14.914,51,0.716,44,0.734,50,0.0,4,0.742,22,4.4,18,29.738,53,0.32,24,0.0,1,7.41e-09,0,PZ11,-10.686,PZ11_Xiao_1,PZ11_Xiao_1,7.4463878,PZ11_Xiao_1,0.5348503600360036,33
Adamiak,4,11.177,51,15.751,52,0.71,47,0.831,30,-1.0,16,0.663,54,10.43,38,22.524,15,0.282,45,0.0,1,3.51e-08,0,PZ11,-11.177,PZ11_Adamiak_4,PZ11_Adamiak_4,6.9624777,PZ11_Adamiak_4,0.5204800085271685,44
Ding,2,11.439,52,14.697,50,0.778,25,0.826,33,-1.0,16,0.773,9,14.26,50,25.637,36,0.288,44,0.0,1,7.79e-08,0,PZ11,-11.439,PZ11_Ding_2,PZ11_Ding_2,7.2016387,PZ11_Ding_2,0.5417594391018049,30
Bujnicki,2,15.356,53,22.81,54,0.673,53,0.685,53,0.0,4,0.691,43,0.0,1,25.084,29,0.205,54,0.0,1,0.001072,0,PZ11,-15.356,PZ11_Bujnicki_2,PZ11_Bujnicki_2,7.9425154,PZ11_Bujnicki_2,0.4737419465630774,53
Das,9,16.028,54,21.424,53,0.748,32,0.88,27,0.0,4,0.698,40,12.07,44,28.266,50,0.266,50,0.0,1,0.003509,1,PZ11,-16.028,PZ11_Das_9,PZ11_Das_9,7.3543811,PZ11_Das_9,0.5552623494716147,21
RNAComposerAS1,3,1.235,1,1.36,1,0.908,2,1.0,1,0.408,29,0.938,2,12.57,64,11.264,1,0.509,1,0.0,1,1.039e-09,0,PZ16a,-1.235,PZ16a_RNAComposerAS1_3,PZ16a_RNAComposerAS1_3,7.8288746,PZ16a_RNAComposerAS1_3,0.8785097029643346,1
Chen,1,1.45,2,1.495,2,0.97,1,1.0,1,0.816,12,0.98,1,0.0,1,16.667,32,0.439,2,0.0,1,2.156e-09,0,PZ16a,-1.45,PZ16a_Chen_1,PZ16a_Chen_1,8.7289295,PZ16a_Chen_1,0.8041566927118619,10
RW3DAS2,6,1.523,3,1.738,3,0.877,4,0.913,12,0.667,17,0.895,3,13.68,65,11.603,4,0.381,5,0.0,1,2.753e-09,0,PZ16a,-1.523,PZ16a_RW3DAS2_6,PZ16a_RW3DAS2_6,7.1888146,PZ16a_RW3DAS2_6,0.8378347861433539,2
RW3DAS2,7,1.661,4,1.975,5,0.841,11,0.913,12,0.816,12,0.826,14,9.12,50,13.366,8,0.271,41,0.0,1,4.338e-09,0,PZ16a,-1.661,PZ16a_RW3DAS2_7,PZ16a_RW3DAS2_7,7.3423691,PZ16a_RW3DAS2_7,0.8161179109645755,6
RW3DAS2,8,1.688,5,1.963,4,0.86,7,0.913,12,0.408,29,0.895,3,6.84,42,12.498,5,0.337,6,0.0,1,4.744e-09,0,PZ16a,-1.688,PZ16a_RW3DAS2_8,PZ16a_RW3DAS2_8,7.418786,PZ16a_RW3DAS2_8,0.8305519172575765,3
RNAComposerAS2,8,1.881,6,2.442,9,0.77,33,0.913,12,0.408,29,0.776,29,17.14,73,17.429,41,0.303,22,0.0,1,8.874e-09,0,PZ16a,-1.881,PZ16a_RNAComposerAS2_8,PZ16a_RNAComposerAS2_8,8.2208748,PZ16a_RNAComposerAS2_8,0.7574861117384039,29
Szachniuk,8,1.881,6,2.442,9,0.77,33,0.913,12,0.408,29,0.776,29,17.14,73,17.429,41,0.303,22,0.0,1,8.874e-09,0,PZ16a,-1.881,PZ16a_Szachniuk_8,PZ16a_Szachniuk_8,8.2208748,PZ16a_Szachniuk_8,0.7574861117384039,29
RW3DAS2,1,1.906,8,2.174,6,0.877,4,1.0,1,0.866,11,0.85,9,13.68,65,15.342,20,0.246,63,0.0,1,9.635e-09,0,PZ16a,-1.906,PZ16a_RW3DAS2_1,PZ16a_RW3DAS2_1,6.90025,PZ16a_RW3DAS2_1,0.7908367583517757,17
3dRNAAS2,6,1.92,9,2.19,7,0.877,4,0.913,12,1.0,1,0.853,8,0.0,1,18.183,46,0.315,12,0.0,1,1.007e-08,0,PZ16a,-1.92,PZ16a_3dRNAAS2_6,PZ16a_3dRNAAS2_6,8.5068398,PZ16a_3dRNAAS2_6,0.7909270885084986,16
RNAComposerAS1,8,2.041,10,2.289,8,0.892,3,1.0,1,0.816,12,0.873,5,4.57,37,11.416,3,0.328,7,0.0,1,1.482e-08,0,PZ16a,-2.041,PZ16a_RNAComposerAS1_8,PZ16a_RNAComposerAS1_8,7.9370627,PZ16a_RNAComposerAS1_8,0.8161818948255876,5
RNAComposerAS2,10,2.041,10,2.65,11,0.77,33,0.913,12,0.408,29,0.776,29,11.43,60,19.081,56,0.326,8,0.0,1,1.482e-08,0,PZ16a,-2.041,PZ16a_RNAComposerAS2_10,PZ16a_RNAComposerAS2_10,8.7505245,PZ16a_RNAComposerAS2_10,0.7783824879936166,23
Szachniuk,10,2.041,10,2.65,11,0.77,33,0.913,12,0.408,29,0.776,29,11.43,60,19.081,56,0.326,8,0.0,1,1.482e-08,0,PZ16a,-2.041,PZ16a_Szachniuk_10,PZ16a_Szachniuk_10,8.7505245,PZ16a_Szachniuk_10,0.7783824879936166,23
RNAComposerAS2,5,2.209,13,3.251,27,0.679,57,0.913,12,-1.0,69,0.66,64,13.71,68,15.005,15,0.305,20,0.0,1,2.516e-08,0,PZ16a,-2.209,PZ16a_RNAComposerAS2_5,PZ16a_RNAComposerAS2_5,8.4352341,PZ16a_RNAComposerAS2_5,0.7581297141050539,27
Szachniuk,5,2.209,13,3.251,27,0.679,57,0.913,12,-1.0,69,0.66,64,13.71,68,15.005,15,0.305,20,0.0,1,2.516e-08,0,PZ16a,-2.209,PZ16a_Szachniuk_5,PZ16a_Szachniuk_5,8.4352341,PZ16a_Szachniuk_5,0.7581297141050539,27
RNAComposerAS1,6,2.214,15,2.733,15,0.81,23,1.0,1,0.577,24,0.786,25,5.71,41,15.614,23,0.298,27,0.0,1,2.558e-08,0,PZ16a,-2.214,PZ16a_RNAComposerAS1_6,PZ16a_RNAComposerAS1_6,7.994895,PZ16a_RNAComposerAS1_6,0.8112551375276637,7
RNAComposerAS2,3,2.217,16,2.687,13,0.825,20,0.913,12,0.408,29,0.85,9,9.14,51,16.59,30,0.283,32,0.0,1,2.579e-08,0,PZ16a,-2.217,PZ16a_RNAComposerAS2_3,PZ16a_RNAComposerAS2_3,8.7174511,PZ16a_RNAComposerAS2_3,0.7516673441428421,33
Szachniuk,3,2.217,16,2.687,13,0.825,20,0.913,12,0.408,29,0.85,9,9.14,51,16.59,30,0.283,32,0.0,1,2.579e-08,0,PZ16a,-2.217,PZ16a_Szachniuk_3,PZ16a_Szachniuk_3,8.7174511,PZ16a_Szachniuk_3,0.7516673441428421,33
RNAComposerAS2,1,2.258,18,2.862,16,0.789,28,0.913,12,0.667,17,0.776,29,10.29,58,15.711,24,0.261,50,0.0,1,2.931e-08,0,PZ16a,-2.258,PZ16a_RNAComposerAS2_1,PZ16a_RNAComposerAS2_1,8.5260372,PZ16a_RNAComposerAS2_1,0.7469438296975445,35
Szachniuk,1,2.258,18,2.862,16,0.789,28,0.913,12,0.667,17,0.776,29,10.29,58,15.711,24,0.261,50,0.0,1,2.931e-08,0,PZ16a,-2.258,PZ16a_Szachniuk_1,PZ16a_Szachniuk_1,8.5260372,PZ16a_Szachniuk_1,0.7469438296975445,35
RNAComposerAS2,4,2.36,20,2.992,21,0.789,28,0.913,12,0.0,44,0.826,14,11.43,60,16.177,27,0.269,44,0.0,1,4.022e-08,0,PZ16a,-2.36,PZ16a_RNAComposerAS2_4,PZ16a_RNAComposerAS2_4,8.1746597,PZ16a_RNAComposerAS2_4,0.7558037125694413,31
Szachniuk,4,2.36,20,2.992,21,0.789,28,0.913,12,0.0,44,0.826,14,11.43,60,16.177,27,0.269,44,0.0,1,4.022e-08,0,PZ16a,-2.36,PZ16a_Szachniuk_4,PZ16a_Szachniuk_4,8.1746597,PZ16a_Szachniuk_4,0.7558037125694413,31
RNAComposerAS2,7,2.381,22,3.217,25,0.74,42,0.913,12,0.408,29,0.734,49,3.43,31,13.033,6,0.281,34,0.0,1,4.28e-08,0,PZ16a,-2.381,PZ16a_RNAComposerAS2_7,PZ16a_RNAComposerAS2_7,7.9636517,PZ16a_RNAComposerAS2_7,0.8011908525661292,12
Szachniuk,7,2.381,22,3.217,25,0.74,42,0.913,12,0.408,29,0.734,49,3.43,31,13.033,6,0.281,34,0.0,1,4.28e-08,0,PZ16a,-2.381,PZ16a_Szachniuk_7,PZ16a_Szachniuk_7,7.9636517,PZ16a_Szachniuk_7,0.8011908525661292,12
RNAComposerAS1,5,2.405,24,3.021,23,0.796,25,1.0,1,0.667,17,0.76,38,9.14,51,11.362,2,0.306,17,0.0,1,4.618e-08,0,PZ16a,-2.405,PZ16a_RNAComposerAS1_5,PZ16a_RNAComposerAS1_5,7.6988001,PZ16a_RNAComposerAS1_5,0.8218990409948361,4
RNAComposerAS1,4,2.407,25,2.971,20,0.81,23,1.0,1,0.816,12,0.76,38,14.86,70,16.676,34,0.312,14,0.0,1,4.641e-08,0,PZ16a,-2.407,PZ16a_RNAComposerAS1_4,PZ16a_RNAComposerAS1_4,7.7047191,PZ16a_RNAComposerAS1_4,0.8063848365776914,9
RNAComposerAS2,6,2.43,26,2.89,18,0.841,11,0.913,12,0.408,29,0.872,6,9.14,51,14.028,13,0.323,10,0.0,1,4.981e-08,0,PZ16a,-2.43,PZ16a_RNAComposerAS2_6,PZ16a_RNAComposerAS2_6,8.3950005,PZ16a_RNAComposerAS2_6,0.7894328771660419,18
Szachniuk,6,2.43,26,2.89,18,0.841,11,0.913,12,0.408,29,0.872,6,9.14,51,14.028,13,0.323,10,0.0,1,4.981e-08,0,PZ16a,-2.43,PZ16a_Szachniuk_6,PZ16a_Szachniuk_6,8.3950005,PZ16a_Szachniuk_6,0.7894328771660419,18
RNAComposerAS1,7,2.609,28,3.151,24,0.828,19,1.0,1,0.816,12,0.786,25,4.57,37,17.449,44,0.287,31,0.0,1,8.558e-08,0,PZ16a,-2.609,PZ16a_RNAComposerAS1_7,PZ16a_RNAComposerAS1_7,8.0971575,PZ16a_RNAComposerAS1_7,0.7843668608765036,22
RNAComposerAS1,9,2.718,29,3.414,29,0.796,25,0.926,9,0.408,29,0.805,19,17.14,73,15.275,19,0.258,55,0.0,1,1.187e-07,0,PZ16a,-2.718,PZ16a_RNAComposerAS1_9,PZ16a_RNAComposerAS1_9,8.4038239,PZ16a_RNAComposerAS1_9,0.7231644159402617,40
RNAComposerAS1,1,2.751,30,3.456,31,0.796,25,0.926,9,0.577,24,0.786,25,3.43,31,13.439,9,0.281,34,0.0,1,1.309e-07,0,PZ16a,-2.751,PZ16a_RNAComposerAS1_1,PZ16a_RNAComposerAS1_1,7.9792175,PZ16a_RNAComposerAS1_1,0.8098738388811104,8
RNAComposerAS1,2,2.802,31,3.423,30,0.819,22,0.926,9,0.667,17,0.81,18,8.0,49,13.873,12,0.27,42,0.0,1,1.52e-07,0,PZ16a,-2.802,PZ16a_RNAComposerAS1_2,PZ16a_RNAComposerAS1_2,8.0008087,PZ16a_RNAComposerAS1_2,0.8017667073152371,11
RNAComposerAS2,9,2.813,32,3.774,34,0.745,40,0.913,12,0.408,29,0.742,46,14.86,70,15.022,17,0.235,67,0.0,1,1.573e-07,0,PZ16a,-2.813,PZ16a_RNAComposerAS2_9,PZ16a_RNAComposerAS2_9,7.8087263,PZ16a_RNAComposerAS2_9,0.7861998103066709,20
Szachniuk,9,2.813,32,3.774,34,0.745,40,0.913,12,0.408,29,0.742,46,14.86,70,15.022,17,0.235,67,0.0,1,1.573e-07,0,PZ16a,-2.813,PZ16a_Szachniuk_9,PZ16a_Szachniuk_9,7.8087263,PZ16a_Szachniuk_9,0.7861998103066709,20
3dRNAAS2,7,2.912,34,3.456,31,0.843,9,0.913,12,1.0,1,0.805,19,0.0,1,20.91,61,0.307,15,0.0,1,2.102e-07,0,PZ16a,-2.912,PZ16a_3dRNAAS2_7,PZ16a_3dRNAAS2_7,9.8170147,PZ16a_3dRNAAS2_7,0.7705538744109721,25
3dRNAAS2,8,2.912,34,3.456,31,0.843,9,0.913,12,1.0,1,0.805,19,0.0,1,20.91,61,0.307,15,0.0,1,2.102e-07,0,PZ16a,-2.912,PZ16a_3dRNAAS2_8,PZ16a_3dRNAAS2_8,9.8170147,PZ16a_3dRNAAS2_8,0.7705538744109721,25
Lee,2,3.551,36,4.931,38,0.72,49,0.775,54,-1.0,69,0.76,38,0.0,1,16.172,26,0.293,29,0.0,1,1.271e-06,0,PZ16a,-3.551,PZ16a_Lee_2,PZ16a_Lee_2,6.3534136,PZ16a_Lee_2,0.629928639176189,54
RNAComposerAS2,2,3.716,37,4.423,36,0.84,17,0.913,12,0.577,24,0.849,12,9.14,51,13.819,10,0.42,3,0.0,1,1.984e-06,0,PZ16a,-3.716,PZ16a_RNAComposerAS2_2,PZ16a_RNAComposerAS2_2,9.5239983,PZ16a_RNAComposerAS2_2,0.7911228038480647,14
Szachniuk,2,3.716,37,4.423,36,0.84,17,0.913,12,0.577,24,0.849,12,9.14,51,13.819,10,0.42,3,0.0,1,1.984e-06,0,PZ16a,-3.716,PZ16a_Szachniuk_2,PZ16a_Szachniuk_2,9.5239983,PZ16a_Szachniuk_2,0.7911228038480647,14
Lee,4,3.957,39,5.523,39,0.716,52,0.775,54,-1.0,69,0.751,45,0.0,1,17.014,35,0.249,61,0.0,1,3.749e-06,0,PZ16a,-3.957,PZ16a_Lee_4,PZ16a_Lee_4,6.2901878,PZ16a_Lee_4,0.588508498562245,65
SimRNAAS1,1,4.339,40,6.506,52,0.667,60,0.645,73,0.0,44,0.742,46,45.61,78,18.873,53,0.212,75,0.0,1,9.912e-06,0,PZ16a,-4.339,PZ16a_SimRNAAS1_1,PZ16a_SimRNAAS1_1,7.2568436,PZ16a_SimRNAAS1_1,0.5551917257576442,73
