0,model,Category,RMSD,RMSD_rank,solution,C1'_rmsd,completed_model,Sum of absolute delta
Dokholyan,1,Human,21.255,101,0,3.62,PZ34_Dokholyan_1,15.2
Nithin,1,Human,15.184,78,0,3.756,PZ34_Nithin_1,15.4
ARESapo,1,Human,10.591,11,0,4.232,PZ34_ARESapo_1,15.5
Das,3,Human,10.931,19,0,4.687,PZ34_Das_3,15.5
SWMapo,1,Human,10.931,19,0,4.687,PZ34_SWMapo_1,15.5
ARESgua,2,Human,11.859,32,0,4.029,PZ34_ARESgua_2,15.5
FARFAR2apo,1,Human,11.679,29,0,4.772,PZ34_FARFAR2apo_1,15.8
Chen,5,Human,14.322,69,0,5.904,PZ34_Chen_5,15.8
Xiao,3,Human,17.848,94,0,4.971,PZ34_Xiao_3,16
RNAComposer,2,Server,15.925,85,0,4.02,PZ34_RNAComposer_2,16.4
SimRNA,4,Server,10.598,12,0,5.117,PZ34_SimRNA_4,16.6
FARFAR2gua,1,Human,11.564,26,0,4.788,PZ34_FARFAR2gua_1,16.6
Nithin,2,Human,14.803,75,0,4.085,PZ34_Nithin_2,16.6
ARESapo,9,Human,10.887,17,0,4.955,PZ34_ARESapo_9,16.9
FARFAR2apo,5,Human,10.887,17,0,4.955,PZ34_FARFAR2apo_5,16.9
FARFAR2gua,6,Human,10.133,7,0,5.277,PZ34_FARFAR2gua_6,17
RNAComposer,1,Server,13.225,56,0,4.117,PZ34_RNAComposer_1,17
Das,9,Human,12.825,51,0,4.293,PZ34_Das_9,17.2
FARFAR2gua,8,Human,12.825,51,0,4.293,PZ34_FARFAR2gua_8,17.2
RNAComposer,3,Server,12.141,35,0,5.586,PZ34_RNAComposer_3,18.6
Das,1,Human,10.673,15,0,5.527,PZ34_Das_1,19.4
FARFAR2apo,7,Human,10.673,15,0,5.527,PZ34_FARFAR2apo_7,19.4
Szachniuk,1,Human,12.563,45,0,6.198,PZ34_Szachniuk_1,19.9
SimRNA,1,Server,14.25,68,0,5.421,PZ34_SimRNA_1,19.9
Xiao,2,Human,18.43,97,0,7.056,PZ34_Xiao_2,20.3
FARFAR2gua,10,Human,10.334,10,0,6.618,PZ34_FARFAR2gua_10,20.4
Das,5,Human,15.725,82,0,6.24,PZ34_Das_5,20.5
SWMapo,8,Human,15.725,82,0,6.24,PZ34_SWMapo_8,20.5
FARFAR2gua,2,Human,10.608,13,0,6.798,PZ34_FARFAR2gua_2,20.7
RNAComposer,5,Server,12.753,48,0,5.403,PZ34_RNAComposer_5,20.9
Xiao,5,Human,16.811,87,0,6.106,PZ34_Xiao_5,21
FARFAR2apo,4,Human,11.371,24,0,6.319,PZ34_FARFAR2apo_4,21.9
ARESapo,5,Human,11.771,30,0,7.256,PZ34_ARESapo_5,21.9
Das,10,Human,12.559,43,0,6.859,PZ34_Das_10,22.2
FARFAR2gua,9,Human,12.559,43,0,6.859,PZ34_FARFAR2gua_9,22.2
Nithin,3,Human,13.669,63,0,6.056,PZ34_Nithin_3,22.4
SimRNA,3,Server,13.236,58,0,5.588,PZ34_SimRNA_3,22.5
FARFAR2gua,7,Human,14.911,76,0,6.925,PZ34_FARFAR2gua_7,22.7
ARESgua,3,Human,11.973,34,0,6.422,PZ34_ARESgua_3,22.8
ARESgua,6,Human,12.795,50,0,6.017,PZ34_ARESgua_6,22.8
Chen,7,Human,17.27,90,0,9.558,PZ34_Chen_7,22.8
ARESgua,1,Human,12.971,53,0,6.045,PZ34_ARESgua_1,23.4
ARESgua,7,Human,12.243,37,0,6.068,PZ34_ARESgua_7,23.5
ARESapo,7,Human,13.229,57,0,6.386,PZ34_ARESapo_7,23.9
SWMapo,10,Human,15.546,81,0,5.077,PZ34_SWMapo_10,23.9
Bujnicki,3,Human,18.874,99,0,7.6,PZ34_Bujnicki_3,24.4
FARFAR2gua,5,Human,11.238,23,0,7.114,PZ34_FARFAR2gua_5,24.5
FARFAR2apo,9,Human,11.667,28,0,7.805,PZ34_FARFAR2apo_9,24.7
Xiao,4,Human,17.008,88,0,6.935,PZ34_Xiao_4,25.1
FARFAR2apo,10,Human,12.273,38,0,7.8,PZ34_FARFAR2apo_10,25.4
Bujnicki,2,Human,13.871,65,0,6.48,PZ34_Bujnicki_2,26.1
FARFAR2apo,6,Human,12.653,47,0,8.062,PZ34_FARFAR2apo_6,26.2
SWMapo,3,Human,13.24,59,0,6.438,PZ34_SWMapo_3,27.8
ARESapo,8,Human,12.383,39,0,7.217,PZ34_ARESapo_8,28
ARESapo,2,Human,12.448,40,0,7.123,PZ34_ARESapo_2,29.2
ARESapo,4,Human,13.392,61,0,7.466,PZ34_ARESapo_4,29.9
SimRNA,2,Server,12.479,41,0,7.343,PZ34_SimRNA_2,30
Bujnicki,5,Human,12.779,49,0,7.335,PZ34_Bujnicki_5,30.1
Chen,8,Human,17.229,89,0,8.483,PZ34_Chen_8,31.1
FARFAR2apo,3,Human,14.77,74,0,8.221,PZ34_FARFAR2apo_3,32.7
Chen,9,Human,18.686,98,0,8.327,PZ34_Chen_9,33.5
Bujnicki,4,Human,19.172,100,0,8.365,PZ34_Bujnicki_4,34
ARESapo,3,Human,14.67,73,0,8.488,PZ34_ARESapo_3,34.2
ARESgua,4,Human,14.373,72,0,9.751,PZ34_ARESgua_4,34.5
Das,6,Human,14.328,70,0,9.127,PZ34_Das_6,37.3
SWMapo,7,Human,14.328,70,0,9.127,PZ34_SWMapo_7,37.3
