Groups,Groups_new,model,RMSD,RMSD_rank,PZ
TFN,Das,10,19.581,30,PZ28tBox
Ding,Ding,1,18.143,26,PZ28tBox
TFN,Das,7,16.549,19,PZ28tBox
FARFAR2,Das,2,16.23,17,PZ28tBox
TFN,Das,3,5.026,1,PZ28tBox
FARFAR2,Das,3,5.994,2,PZ28tBox
Adamiak,Szachniuk,2,6.824,3,PZ28tBox
Das,Das,3,10.49,4,PZ28tBox
Das,Das,1,10.795,5,PZ28tBox
Das,Das,5,11.403,6,PZ28tBox
TFN,Das,6,12.679,7,PZ28tBox
TFN,Das,4,13.56,8,PZ28tBox
Das,Das,2,13.646,9,PZ28tBox
FARFAR2,Das,6,13.646,9,PZ28tBox
TFN,Das,5,14.172,11,PZ28tBox
Das,Das,6,15.312,12,PZ28tBox
FARFAR2,Das,5,15.647,13,PZ28tBox
Das,Das,10,15.943,14,PZ28tBox
FARFAR2,Das,8,15.943,14,PZ28tBox
Adamiak,Szachniuk,5,16.087,16,PZ28tBox
Ding,Ding,2,16.392,18,PZ28tBox
Bujnicki,Bujnicki,4,19.59,32,PZ28tBox
Das,Das,4,19.588,31,PZ28tBox
Das,Das,9,19.735,34,PZ28tBox
Xiao,Xiao,3,29.167,57,PZ28tBox
Chen,Chen,4,27.253,56,PZ28tBox
Chen,Chen,5,26.695,55,PZ28tBox
Chen,Chen,2,26.309,54,PZ28tBox
Xiao,Xiao,1,26.018,53,PZ28tBox
FARFAR2,Das,9,19.634,33,PZ28tBox
Chen,Chen,8,25.726,51,PZ28tBox
Chen,Chen,3,25.475,50,PZ28tBox
Xiao,Xiao,2,24.983,49,PZ28tBox
Chen,Chen,10,24.964,48,PZ28tBox
Chen,Chen,1,24.387,47,PZ28tBox
Chen,Chen,7,23.959,46,PZ28tBox
Chen,Chen,6,23.06,45,PZ28tBox
Xiao,Xiao,4,25.934,52,PZ28tBox
Chen,Chen,9,22.825,43,PZ28tBox
TFN,Das,1,23.045,44,PZ28tBox
Adamiak,Szachniuk,4,19.912,35,PZ28tBox
FARFAR2,Das,1,20.105,36,PZ28tBox
Xiao,Xiao,5,20.33,38,PZ28tBox
Bujnicki,Bujnicki,3,20.266,37,PZ28tBox
TFN,Das,2,20.757,40,PZ28tBox
Bujnicki,Bujnicki,5,20.939,41,PZ28tBox
Adamiak,Szachniuk,1,22.124,42,PZ28tBox
FARFAR2,Das,10,20.467,39,PZ28tBox
FARFAR2,Das,7,3.196,10,PZ28tRNA
TFN,Das,8,3.558,15,PZ28tRNA
FARFAR2,Das,4,3.548,14,PZ28tRNA
TFN,Das,4,3.493,13,PZ28tRNA
TFN,Das,3,3.304,12,PZ28tRNA
TFN,Das,5,3.23,11,PZ28tRNA
Das,Das,7,2.792,2,PZ28tRNA
FARFAR2,Das,5,3.123,7,PZ28tRNA
FARFAR2,Das,1,3.146,9,PZ28tRNA
FARFAR2,Das,2,3.084,5,PZ28tRNA
Das,Das,1,3.022,4,PZ28tRNA
Das,Das,5,2.921,3,PZ28tRNA
TFN,Das,2,2.73,1,PZ28tRNA
Das,Das,3,3.123,7,PZ28tRNA
TFN,Das,1,3.611,16,PZ28tRNA
TFN,Das,9,3.811,19,PZ28tRNA
TFN,Das,7,3.758,18,PZ28tRNA
Xiao,Xiao,5,5.148,39,PZ28tRNA
Chen,Chen,8,5.41,48,PZ28tRNA
Chen,Chen,7,5.688,49,PZ28tRNA
Ding,Ding,2,6.192,50,PZ28tRNA
Das,Das,8,3.094,6,PZ28tRNA
Adamiak,Szachniuk,2,6.5,51,PZ28tRNA
Bujnicki,Bujnicki,2,6.757,52,PZ28tRNA
Adamiak,Szachniuk,3,6.795,53,PZ28tRNA
Adamiak,Szachniuk,5,6.861,54,PZ28tRNA
Ding,Ding,1,7.171,55,PZ28tRNA
Bujnicki,Bujnicki,5,5.258,46,PZ28tRNA
Adamiak,Szachniuk,4,7.321,56,PZ28tRNA
TFN,Das,10,3.667,17,PZ28tRNA
Adamiak,Szachniuk,1,9.047,57,PZ28tRNA
Chen,Chen,3,5.236,45,PZ28tRNA
Chen,Chen,9,5.339,47,PZ28tRNA
Xiao,Xiao,4,5.148,39,PZ28tRNA
FARFAR2,Das,10,3.829,20,PZ28tRNA
Das,Das,2,3.867,21,PZ28tRNA
FARFAR2,Das,6,3.867,21,PZ28tRNA
FARFAR2,Das,3,3.883,23,PZ28tRNA
Das,Das,10,3.947,24,PZ28tRNA
FARFAR2,Das,8,3.947,24,PZ28tRNA
TFN,Das,6,3.957,26,PZ28tRNA
Das,Das,9,4.055,27,PZ28tRNA
Chen,Chen,5,4.093,28,PZ28tRNA
Chen,Chen,6,5.231,44,PZ28tRNA
FARFAR2,Das,9,4.2,30,PZ28tRNA
Das,Das,4,4.168,29,PZ28tRNA
Chen,Chen,4,4.542,32,PZ28tRNA
Xiao,Xiao,3,5.148,39,PZ28tRNA
Xiao,Xiao,2,5.148,39,PZ28tRNA
Bujnicki,Bujnicki,1,4.541,31,PZ28tRNA
Chen,Chen,10,5.077,38,PZ28tRNA
Bujnicki,Bujnicki,4,5.075,37,PZ28tRNA
Xiao,Xiao,1,5.148,39,PZ28tRNA
Chen,Chen,1,4.929,36,PZ28tRNA
Chen,Chen,2,4.857,35,PZ28tRNA
Bujnicki,Bujnicki,3,4.815,34,PZ28tRNA
Das,Das,6,4.635,33,PZ28tRNA
Chen,Chen,9,4.676,1,PZ29
Szachniuk,Szachniuk,3,4.793,2,PZ29
Chen,Chen,8,7.481,15,PZ29
Szachniuk,Szachniuk,5,4.987,3,PZ29
Dokholyan,Dokholyan,1,15.734,26,PZ29
DasPOSTDEADLINE,Das,1,13.879,25,PZ29
Chen,Chen,6,13.194,24,PZ29
Chen,Chen,1,12.344,23,PZ29
Chen,Chen,7,10.995,22,PZ29
DasPOSTDEADLINE,Das,10,9.236,21,PZ29
Chen,Chen,2,9.217,20,PZ29
Szachniuk,Szachniuk,1,4.987,3,PZ29
DasPOSTDEADLINE,Das,6,8.924,19,PZ29
DasPOSTDEADLINE,Das,9,7.907,17,PZ29
Chen,Chen,3,7.771,16,PZ29
DasPOSTDEADLINE,Das,5,7.44,14,PZ29
Szachniuk,Szachniuk,4,7.212,13,PZ29
DasPOSTDEADLINE,Das,4,6.897,12,PZ29
DasPOSTDEADLINE,Das,3,6.799,11,PZ29
Chen,Chen,5,6.772,10,PZ29
Szachniuk,Szachniuk,2,6.47,9,PZ29
Chen,Chen,4,6.011,8,PZ29
DasPOSTDEADLINE,Das,2,5.573,7,PZ29
DasPOSTDEADLINE,Das,8,5.491,6,PZ29
Chen,Chen,10,5.241,5,PZ29
DasPOSTDEADLINE,Das,7,8.0,18,PZ29
Dfold2,Kollmann,4,6.276,32,PZ33
Perez,Perez,6,13.445,81,PZ33
Bujnicki,Bujnicki,4,5.555,24,PZ33
Bujnicki,Bujnicki,3,5.68,25,PZ33
Dfold2,Kollmann,3,5.815,26,PZ33
Nithin,Nithin,5,5.824,27,PZ33
Nithin,Nithin,2,5.97,28,PZ33
ARES,Das,1,6.058,29,PZ33
Das,Das,3,6.085,30,PZ33
FARFAR2,Das,1,6.085,30,PZ33
Dfold2,Kollmann,9,17.612,90,PZ33
Ding,Ding,3,15.566,89,PZ33
Perez,Perez,4,14.767,88,PZ33
Dfold2,Kollmann,10,14.508,87,PZ33
Ding,Ding,2,14.496,86,PZ33
Szachniuk,Szachniuk,3,14.385,85,PZ33
Dfold2,Kollmann,8,14.351,84,PZ33
Ding,Ding,8,13.824,83,PZ33
Perez,Perez,8,13.722,82,PZ33
Das,Das,5,13.315,80,PZ33
Nithin,Nithin,1,5.538,23,PZ33
Perez,Perez,10,12.485,79,PZ33
Xiao,Xiao,2,5.422,22,PZ33
Bujnicki,Bujnicki,5,5.32,20,PZ33
Bujnicki,Bujnicki,2,3.41,1,PZ33
Dfold2,Kollmann,6,3.916,2,PZ33
FARFAR2,Das,9,3.935,3,PZ33
Das,Das,9,3.969,4,PZ33
FARFAR2,Das,3,3.969,4,PZ33
Dfold2,Kollmann,7,4.127,6,PZ33
Dfold2,Kollmann,1,4.204,7,PZ33
Dfold2,Kollmann,2,4.365,8,PZ33
FARFAR2,Das,8,4.424,9,PZ33
Nithin,Nithin,4,4.461,10,PZ33
Chen,Chen,8,4.514,11,PZ33
Das,Das,2,4.569,12,PZ33
Xiao,Xiao,3,4.645,13,PZ33
FARFAR2,Das,2,4.767,14,PZ33
Dokholyan,Dokholyan,1,4.831,15,PZ33
ARES,Das,5,4.871,16,PZ33
ARES,Das,3,5.042,17,PZ33
Chen,Chen,5,5.272,18,PZ33
Bujnicki,Bujnicki,1,5.303,19,PZ33
Xiao,Xiao,1,5.418,21,PZ33
Ding,Ding,6,12.37,78,PZ33
Perez,Perez,3,11.855,77,PZ33
FARFAR2,Das,4,7.364,53,PZ33
Chen,Chen,2,7.316,52,PZ33
Perez,Perez,1,7.289,51,PZ33
FARFAR2,Das,7,7.282,50,PZ33
ARES,Das,6,7.159,49,PZ33
Chen,Chen,3,7.139,48,PZ33
Chen,Chen,6,7.087,47,PZ33
Perez,Perez,2,7.083,46,PZ33
FARFAR2,Das,5,7.007,45,PZ33
FARFAR2,Das,6,6.905,44,PZ33
ARES,Das,8,6.748,43,PZ33
ARES,Das,7,6.711,42,PZ33
ARES,Das,9,6.673,41,PZ33
Chen,Chen,1,6.639,40,PZ33
Chen,Chen,4,6.606,39,PZ33
Dfold2,Kollmann,5,6.558,38,PZ33
Das,Das,8,6.503,36,PZ33
ARES,Das,4,6.503,36,PZ33
Chen,Chen,7,6.482,35,PZ33
Nithin,Nithin,3,6.41,34,PZ33
ARES,Das,10,6.311,33,PZ33
FARFAR2,Das,10,7.655,54,PZ33
Das,Das,1,7.7,55,PZ33
Xiao,Xiao,5,7.951,56,PZ33
Szachniuk,Szachniuk,1,7.956,57,PZ33
Szachniuk,Szachniuk,5,11.8,76,PZ33
Szachniuk,Szachniuk,4,11.545,75,PZ33
Perez,Perez,5,11.196,74,PZ33
Ding,Ding,5,10.433,73,PZ33
Szachniuk,Szachniuk,2,9.963,72,PZ33
Das,Das,6,9.877,71,PZ33
Ding,Ding,7,9.74,70,PZ33
Chen,Chen,9,9.69,69,PZ33
Xiao,Xiao,4,9.561,67,PZ33
Das,Das,7,9.457,66,PZ33
Dokholyan,Dokholyan,2,9.344,65,PZ33
Chen,Chen,10,9.31,64,PZ33
Ding,Ding,1,9.238,63,PZ33
Perez,Perez,7,9.049,62,PZ33
Ding,Ding,4,9.044,61,PZ33
Das,Das,10,8.51,60,PZ33
Perez,Perez,9,8.467,59,PZ33
ARES,Das,2,8.164,58,PZ33
Das,Das,4,9.679,68,PZ33
Chen,Chen,2,6.966,4,PZ37
Chen,Chen,3,6.593,3,PZ37
Chen,Chen,1,9.745,8,PZ37
Chen,Chen,6,5.42,1,PZ37
Chen,Chen,7,7.107,5,PZ37
Szachniuk,Szachniuk,4,6.222,2,PZ37
Szachniuk,Szachniuk,1,9.37,7,PZ37
Szachniuk,Szachniuk,3,9.877,9,PZ37
Dokholyan,Dokholyan,2,18.633,54,PZ37
Dokholyan,Dokholyan,3,17.132,53,PZ37
Xiao,Xiao,2,16.773,52,PZ37
DasSWMapo,Das,4,16.562,51,PZ37
Xiao,Xiao,6,16.498,49,PZ37
Xiao,Xiao,1,16.498,49,PZ37
DasFARFAR2apo,Das,2,16.315,48,PZ37
Yang,Yang,4,15.89,47,PZ37
DasFARFAR2apo,Das,5,15.764,46,PZ37
Yang,Yang,8,15.702,45,PZ37
Chen,Chen,9,15.349,44,PZ37
Dokholyan,Dokholyan,1,18.908,55,PZ37
Dfold,Kollmann,6,19.025,56,PZ37
Dfold,Kollmann,7,19.025,56,PZ37
Dfold,Kollmann,8,19.025,56,PZ37
Dfold,Kollmann,5,25.446,73,PZ37
Zhou,Anonymous,1,26.083,74,PZ37
Dfold,Kollmann,10,31.956,75,PZ37
Dfold,Kollmann,1,23.679,70,PZ37
Dokholyan,Dokholyan,5,23.655,69,PZ37
Yang,Yang,10,23.106,68,PZ37
Dfold,Kollmann,4,22.971,67,PZ37
Yang,Yang,9,15.239,43,PZ37
Dfold,Kollmann,2,21.261,65,PZ37
Xiao,Xiao,4,21.155,64,PZ37
Dfold,Kollmann,3,21.14,63,PZ37
Dfold,Kollmann,9,20.004,62,PZ37
Dfold,Kollmann,11,19.779,61,PZ37
Yang,Yang,5,19.541,60,PZ37
Xiao,Xiao,3,19.036,59,PZ37
Ding,Ding,1,21.374,66,PZ37
Dokholyan,Dokholyan,4,24.006,71,PZ37
DasFARFAR2apo,Das,4,15.228,41,PZ37
DasARESapo,Das,5,15.179,40,PZ37
DiMaio,DiMaio,1,12.947,20,PZ37
DasFARFAR2ARESholo,Das,1,12.894,19,PZ37
Yang,Yang,7,12.35,18,PZ37
Chen,Chen,8,12.333,17,PZ37
DasARESapo,Das,2,11.918,16,PZ37
Yang,Yang,1,11.685,15,PZ37
DasSWMapo,Das,2,11.683,14,PZ37
Yang,Yang,6,11.413,13,PZ37
Chen,Chen,5,11.41,12,PZ37
Szachniuk,Szachniuk,2,11.377,11,PZ37
Yang,Yang,2,10.335,10,PZ37
Chen,Chen,4,7.542,6,PZ37
DasSWMapo,Das,5,13.508,21,PZ37
Bujnicki,Bujnicki,5,13.571,22,PZ37
Bujnicki,Bujnicki,4,13.649,23,PZ37
DasARESapo,Das,4,13.651,24,PZ37
Bujnicki,Bujnicki,2,15.116,39,PZ37
Szachniuk,Szachniuk,5,15.015,38,PZ37
DasARESapo,Das,3,14.974,37,PZ37
Bujnicki,Bujnicki,1,14.835,36,PZ37
DasFARFAR2apo,Das,3,14.689,35,PZ37
DasFARFAR2ARESholo,Das,5,14.541,34,PZ37
DasFARFAR2ARESholo,Das,3,15.228,41,PZ37
Bujnicki,Bujnicki,3,14.329,33,PZ37
Chen,Chen,10,14.146,31,PZ37
DasFARFAR2apo,Das,1,14.14,29,PZ37
DasFARFAR2ARESholo,Das,4,14.14,29,PZ37
DasARESapo,Das,1,14.102,28,PZ37
Yang,Yang,3,13.919,27,PZ37
DasSWMapo,Das,1,13.848,26,PZ37
DasFARFAR2ARESholo,Das,2,13.651,24,PZ37
DasSWMapo,Das,3,14.188,32,PZ37
Xiao,Xiao,5,24.35,72,PZ37
Chen,Chen,3,7.978,1,PZ38
DasFARFAR2Apo,Das,2,13.888,37,PZ38
DasFARFAR2NNApo,Das,1,13.955,38,PZ38
DasFARFAR2Apo,Das,3,12.314,18,PZ38
Ding,Ding,4,14.092,40,PZ38
Szachniuk,Szachniuk,5,14.276,41,PZ38
DasFARFAR2Apo,Das,5,14.305,42,PZ38
Xiao,Xiao,4,14.324,43,PZ38
Chen,Chen,5,14.422,44,PZ38
DasARESApo,Das,1,14.44,45,PZ38
Ding,Ding,1,15.253,46,PZ38
Dokholyan,Dokholyan,1,15.615,47,PZ38
DasARESApo,Das,4,13.774,36,PZ38
Bujnicki,Bujnicki,2,13.754,35,PZ38
Ding,Ding,2,13.649,34,PZ38
SoutheRNA,SoutheRNA,4,12.577,19,PZ38
DasFARFAR2NNHolo,Das,1,12.58,20,PZ38
DasFARFAR2NNApo,Das,3,12.623,21,PZ38
Bujnicki,Bujnicki,1,12.908,22,PZ38
DasFARFAR2NNApo,Das,5,12.943,23,PZ38
DasFARFAR2Apo,Das,1,12.973,24,PZ38
Ding,Ding,3,13.04,25,PZ38
SoutheRNA,SoutheRNA,3,13.073,26,PZ38
DasFARFAR2Apo,Das,4,13.11,27,PZ38
DasARESApo,Das,2,13.131,28,PZ38
DasFARFAR2NNApo,Das,4,13.23,29,PZ38
DasARESApo,Das,3,13.272,30,PZ38
Dfold,Kollmann,4,13.387,31,PZ38
DasFARFAR2NNApo,Das,2,13.41,32,PZ38
Bujnicki,Bujnicki,3,13.628,33,PZ38
Bujnicki,Bujnicki,4,15.807,48,PZ38
SoutheRNA,SoutheRNA,2,16.601,49,PZ38
SoutheRNA,SoutheRNA,5,17.98,51,PZ38
Chen,Chen,2,9.463,10,PZ38
Szachniuk,Szachniuk,3,9.436,9,PZ38
Chen,Chen,10,9.324,8,PZ38
Szachniuk,Szachniuk,2,8.504,6,PZ38
Szachniuk,Szachniuk,1,8.394,5,PZ38
Chen,Chen,6,8.371,4,PZ38
Chen,Chen,9,8.239,3,PZ38
Chen,Chen,4,8.196,2,PZ38
Chen,Chen,8,8.927,7,PZ38
Chen,Chen,1,11.112,11,PZ38
Xiao,Xiao,1,18.089,52,PZ38
Xiao,Xiao,3,18.316,53,PZ38
Xiao,Xiao,2,19.748,54,PZ38
Dfold,Kollmann,3,19.824,55,PZ38
Dfold,Kollmann,1,20.279,56,PZ38
Dfold,Kollmann,2,21.296,57,PZ38
Dfold,Kollmann,5,21.296,57,PZ38
Ding,Ding,5,23.044,59,PZ38
Ding,Ding,6,12.306,17,PZ38
Xiao,Xiao,5,11.826,16,PZ38
Szachniuk,Szachniuk,4,11.764,15,PZ38
DasFARFAR2Holo,Das,1,11.633,13,PZ38
DasARESApo,Das,5,11.633,13,PZ38
SoutheRNA,SoutheRNA,1,11.503,12,PZ38
Bujnicki,Bujnicki,5,16.766,50,PZ38
Chen,Chen,7,13.971,39,PZ38
